ID,site,x,d,u,shear,ey
68272.34,P,0,0.7,0.6,5.14,2.1588
67927.34,P,345,0.54,2.27,76.14,24.66936
67497.67,P,774.67,1.63,0.4,1.67,1.63326
67187.24,P,1085.1,0.67,0.78,8.39,3.37278
48730.03,R,0,0.61,1.04,12.72,4.65552
48602.46,R,127.57,0.51,0.98,12.02,3.67812
48430.8,R,299.23,0.55,1.07,14.32,4.7256
48199.89,R,530.14,0.98,0.59,3.52,2.06976
48115.19,R,614.84,1.45,0.41,1.53,1.3311
48049.87,R,680.16,1.3,0.44,1.77,1.3806
48006.567,R,723.463,1.13,0.48,2.27,1.53906
47955,R,775.03,0.99,0.47,2.24,1.33056
